40 4222 14710
0 0     415.510773 346.966492
1 0     374.552094 340.906708
3 0     273.830261 338.644318
38 0     455.058685 356.795929
0 1     190.922958 567.057861
1 1     167.748550 567.566467
38 1     147.519974 583.009033
0 2     163.787796 709.491699
1 2     148.336990 702.599915
2 2     133.479431 692.217773
35 2     250.523254 734.426208
36 2     234.645111 731.464172
37 2     198.915878 722.581055
38 2     180.831741 716.052002
39 2     215.604889 727.464050
0 3     406.407074 240.278320
1 3     360.605713 240.708771
2 3     319.766815 240.717209
3 3     283.806549 239.880905
35 3     533.495056 232.353714
36 3     508.485565 236.369553
37 3     492.130951 237.140976
38 3     453.985931 238.805359
0 4     612.905945 348.526520
1 4     577.620850 336.328766
2 4     532.333984 333.838013
3 4     491.080872 333.413147
37 4     674.958923 333.470184
38 4     647.691772 341.993896
0 5     403.966187 743.792175
1 5     368.522247 753.473450
2 5     312.253845 758.315369
0 6     151.797470 846.034851
1 6     127.055603 831.939575
36 6     264.133606 869.328125
37 6     207.616638 862.572815
38 6     173.751038 854.176086
39 6     237.980927 867.408447
0 7     156.853302 395.072845
38 7     175.324402 413.504639
0 8     274.860107 188.991760
1 8     247.780670 186.186234
0 9     514.468689 261.539307
36 9     623.387695 241.325485
38 9     562.088501 256.766785
0 10     488.517120 184.302139
1 10     444.590698 179.499680
2 10     393.895355 174.327194
36 10     601.108154 165.157379
37 10     553.192627 178.891724
39 10     579.203369 172.777115
0 11     311.499054 922.897888
1 11     255.157181 921.041382
2 11     197.415649 917.127563
37 11     419.802429 917.167603
38 11     366.643738 920.479309
39 11     467.836639 910.463501
0 12     367.934265 876.608398
1 12     326.198120 880.115784
2 12     282.132782 878.866882
0 13     290.276581 855.719727
1 13     245.316803 857.658936
2 13     199.793076 856.715210
37 13     379.682312 845.625916
38 13     337.481903 850.958862
39 13     427.337616 840.103882
0 14     470.833313 913.140015
1 14     425.804718 920.721130
2 14     376.199768 926.212524
37 14     550.543274 891.877075
38 14     513.084839 903.293579
39 14     579.089294 878.087769
0 15     450.388977 639.554688
1 15     402.411804 651.082092
2 15     371.748108 642.800293
37 15     516.930115 625.678467
38 15     486.317749 632.482605
0 16     370.548492 697.876831
1 16     325.242950 700.064697
36 16     540.669983 677.303467
37 16     466.747955 692.798523
38 16     416.088257 691.811768
39 16     508.273590 688.545349
0 17     491.377350 406.474762
1 17     421.869476 408.038330
2 17     348.689270 406.459198
37 17     616.850159 394.745789
38 17     558.356384 401.060364
0 18     152.704239 436.533783
36 18     251.596771 504.691864
0 19     568.357605 448.794128
1 19     514.123657 454.175751
2 19     456.505371 448.379730
37 19     666.060913 452.171631
38 19     621.115295 437.254547
0 20     283.728943 260.273285
1 20     237.144394 256.595398
36 20     402.525848 269.003143
38 20     330.120667 259.983124
39 20     370.428864 265.673340
0 21     406.178741 266.414062
1 21     346.795898 267.741211
35 21     542.058289 256.517731
36 21     502.429626 260.709229
39 21     463.036682 266.254974
0 22     539.440491 266.106964
1 22     505.233307 270.272614
38 22     589.032715 260.649261
0 23     500.323273 459.062714
1 23     429.504272 462.173157
2 23     353.143585 461.734467
38 23     567.234863 451.439850
0 24     225.615570 865.734924
1 24     181.350601 858.083313
0 25     44.703899 421.938477
37 25     34.612480 442.654541
38 25     35.751591 431.418976
39 25     29.646107 461.438812
0 26     63.491634 672.923645
1 26     64.231949 673.088196
35 26     61.084713 669.701172
36 26     64.185837 663.075806
37 26     63.462311 668.560059
38 26     64.683846 667.542175
39 26     62.135536 668.406494
0 27     573.939270 602.146423
1 27     532.075134 611.147888
2 27     483.945496 617.758362
38 27     610.160889 589.788513
0 28     122.974495 521.661316
35 28     146.566635 557.891235
36 28     132.761826 551.085632
37 28     118.627060 536.338806
38 28     118.598938 528.636414
39 28     123.229065 543.912109
0 29     473.804260 629.939331
1 29     466.426514 615.978943
0 30     537.502502 223.402893
1 30     503.954285 220.135315
0 31     329.803070 821.517273
1 31     275.928467 821.017456
37 31     432.807709 815.489197
38 31     386.966949 818.033630
39 31     477.440094 810.285950
0 32     426.259430 238.257034
38 32     480.677826 235.540787
0 33     48.835209 533.918762
1 33     59.708900 524.793518
2 33     77.085472 516.643921
37 33     45.408073 555.310364
38 33     44.019989 544.782837
39 33     53.219433 565.692749
0 34     548.621826 645.717285
1 34     511.325897 655.132019
2 34     468.990479 661.183716
0 35     273.689087 774.213562
1 35     225.029510 770.737732
2 35     174.689209 765.096313
38 35     322.940308 771.222656
0 36     345.418732 178.381149
1 36     311.669739 177.527496
0 37     261.570770 225.751755
37 37     309.967926 246.925781
38 37     287.439545 230.510452
0 38     322.337006 229.312469
37 38     414.785309 227.614929
38 38     369.970917 227.439041
0 39     514.272583 636.589539
1 39     475.815308 644.648621
37 39     572.994385 615.011719
38 39     548.347351 624.525452
0 40     338.470276 204.792297
1 40     300.291748 207.685333
38 40     375.538605 200.444397
0 41     354.052826 268.228333
